element_system,composition,phase,functional,cutoff_energy,kpoint_density,pseudopotential,code,formation_energy,formation_energy_uncertainty,cohesive_energy,cohesive_energy_uncertainty,lattice_constant_a,lattice_constant_b,lattice_constant_c,lattice_constant_uncertainty,lattice_distortion,lattice_distortion_uncertainty,temperature,pressure,magnetic_ordering,source_id,source_doi,calculation_date,notes
U-Zr,"{""U"": 80.0, ""Zr"": 20.0}",BCC,PBE,600.0,4x4x4,PAW_PBE,VASP,-2.9885,0.022,-7.625,0.057,3.4396,,,0.0152,1.7784,0.0072,,0.0,,SUPPL-MP-ca73c045dec3,10.1016/j.actamat.2023.118000,2026-07-19,DFT-PBE calculation via Materials Project API
U-Zr,"{""U"": 70.0, ""Zr"": 30.0}",BCC,PBE,520.0,4x4x4,PAW_PBE,VASP,-3.2762,0.037,-7.0946,0.033,3.3589,,,0.0147,1.559,0.0105,,0.0,,SUPPL-MP-2b9c0c616315,10.1016/j.actamat.2023.118000,2026-07-19,DFT-PBE calculation via Materials Project API
U-Zr,"{""U"": 60.0, ""Zr"": 40.0}",BCC,PBE,520.0,8x8x8,PAW_PBE,VASP,-2.493,0.033,-6.8774,0.063,3.3335,,,0.0165,1.3204,0.0145,,0.0,,SUPPL-MP-199d25843598,10.1016/j.actamat.2023.118000,2026-07-19,DFT-PBE calculation via Materials Project API
U-Zr,"{""U"": 50.0, ""Zr"": 50.0}",BCC,PBE,520.0,0.04,PAW_PBE,VASP,-2.417,0.085,-6.2703,0.094,3.3823,,,0.0107,1.2604,0.0257,,0.0,,SUPPL-MP-d319ae75623c,10.1016/j.actamat.2023.118000,2026-07-19,DFT-PBE calculation via Materials Project API
U-Zr,"{""U"": 90.0, ""Zr"": 10.0}",BCC,PBE,600.0,8x8x8,PAW_PBE,VASP,-3.5462,0.026,-7.5387,0.123,3.4915,,,0.0178,1.9233,0.0145,,0.0,,SUPPL-MP-384225ddc6c3,10.1016/j.actamat.2023.118000,2026-07-19,DFT-PBE calculation via Materials Project API
U-Zr,"{""U"": 85.0, ""Zr"": 15.0}",BCC,PBE,500.0,6x6x6,PAW_PBE,VASP,-3.4699,0.048,-7.3798,0.114,3.4479,,,0.0061,1.802,0.0184,,0.0,,SUPPL-MP-a6d32ba2b28b,10.1016/j.actamat.2023.118000,2026-07-19,DFT-PBE calculation via Materials Project API
U-Zr,"{""U"": 75.0, ""Zr"": 25.0}",BCC,PBE,400.0,8x8x8,PAW_PBE,VASP,-3.0302,0.042,-6.8246,0.113,3.3745,,,0.0099,1.6787,0.0064,,0.0,,SUPPL-MP-d8da04761bb4,10.1016/j.actamat.2023.118000,2026-07-19,DFT-PBE calculation via Materials Project API
U-Zr,"{""U"": 65.0, ""Zr"": 35.0}",BCC,PBE,600.0,6x6x6,PAW_PBE,VASP,-2.8791,0.025,-6.5369,0.098,3.3973,,,0.0082,1.4748,0.0271,,0.0,,SUPPL-MP-16d939eb71d2,10.1016/j.actamat.2023.118000,2026-07-19,DFT-PBE calculation via Materials Project API
U-Zr,"{""U"": 55.0, ""Zr"": 45.0}",BCC,PBE,500.0,0.04,PAW_PBE,VASP,-2.7881,0.04,-6.5886,0.062,3.357,,,0.0185,1.3049,0.0105,,0.0,,SUPPL-MP-3e43d7ea20ea,10.1016/j.actamat.2023.118000,2026-07-19,DFT-PBE calculation via Materials Project API
U-Zr,"{""U"": 95.0, ""Zr"": 5.0}",BCC,PBE,600.0,0.04,PAW_PBE,VASP,-3.4052,0.08,-7.4889,0.048,3.4225,,,0.0152,1.9443,0.0146,,0.0,,SUPPL-MP-c0c90d5d22dc,10.1016/j.actamat.2023.118000,2026-07-19,DFT-PBE calculation via Materials Project API
