element_system,composition,phase,functional,cutoff_energy,kpoint_density,pseudopotential,code,formation_energy,formation_energy_uncertainty,cohesive_energy,cohesive_energy_uncertainty,lattice_constant_a,lattice_constant_b,lattice_constant_c,lattice_constant_uncertainty,lattice_distortion,lattice_distortion_uncertainty,temperature,pressure,magnetic_ordering,source_id,source_doi,calculation_date,notes
U-Zr,"{""U"": 33.3, ""Zr"": 66.7}",HCP,PBE,520.0,8x8x8,PAW_PBE,VASP,0.2995,,6.3164,,2.9915,5.2602,5.2602,,1.1881,,,0.0,,MP-mp-1206978-9c1689004794,10.1016/j.commatsci.2022.02.002,2026-07-21,"Materials Project mp-1206978, Zr2U, spacegroup=P6/mmm"
U-Zr,"{""U"": 33.3, ""Zr"": 66.7}",HCP,PBE,520.0,8x8x8,PAW_PBE,VASP,0.2213,,6.2382,,3.0443,5.0863,5.0929,,1.1881,,,0.0,,MP-mp-1215541-522e83b8f91c,10.1016/j.commatsci.2022.02.002,2026-07-21,"Materials Project mp-1215541, Zr2U, spacegroup=P-6m2"
U-Zr,"{""U"": 50.0, ""Zr"": 50.0}",ORT,PBE,520.0,8x8x8,PAW_PBE,VASP,0.2276,,6.1276,,3.0246,,5.4917,,1.2658,,,0.0,,MP-mp-1215193-8fdfa4c0059f,10.1016/j.commatsci.2022.02.002,2026-07-21,"Materials Project mp-1215193, ZrU, spacegroup=Cmmm"
U-Zr,"{""U"": 75.0, ""Zr"": 25.0}",BCT,PBE,520.0,8x8x8,PAW_PBE,VASP,0.3763,,6.1013,,5.7095,,,,1.1032,,,0.0,,MP-mp-1183047-58effd761fd0,10.1016/j.commatsci.2022.02.002,2026-07-21,"Materials Project mp-1183047, ZrU3, spacegroup=I4/mmm"
Mo-U,"{""Mo"": 33.3, ""U"": 66.7}",BCT,PBE,520.0,8x8x8,PAW_PBE,VASP,0.0688,,6.0417,,5.4268,,,,5.3292,,,0.0,,MP-mp-30789-c213142f2479,10.1016/j.commatsci.2022.02.002,2026-07-21,"Materials Project mp-30789, U2Mo, spacegroup=I4/mmm"
Mo-U,"{""Mo"": 12.5, ""U"": 87.5}",ORT,PBE,520.0,8x8x8,PAW_PBE,VASP,0.173,,5.8818,,2.9985,5.1471,10.2608,,3.6538,,,0.0,,MP-mp-1216893-41a274bdf9d6,10.1016/j.commatsci.2022.02.002,2026-07-21,"Materials Project mp-1216893, U7Mo, spacegroup=Pmmm"
Mo-U,"{""Mo"": 50.0, ""U"": 50.0}",MON,PBE,520.0,8x8x8,PAW_PBE,VASP,0.2504,,6.4354,,2.9164,5.2376,10.3718,,5.7627,,,0.0,,MP-mp-1079710-91d08740a5c7,10.1016/j.commatsci.2022.02.002,2026-07-21,"Materials Project mp-1079710, UMo, spacegroup=P2_1/c"
Mo-U,"{""Mo"": 50.0, ""U"": 50.0}",MON,PBE,520.0,8x8x8,PAW_PBE,VASP,0.1694,,6.3544,,5.3152,2.8521,9.7157,,5.7627,,,0.0,,MP-mp-1178856-81d083f952ee,10.1016/j.commatsci.2022.02.002,2026-07-21,"Materials Project mp-1178856, UMo, spacegroup=P2_1/c"
Mo-U,"{""Mo"": 50.0, ""U"": 50.0}",ORT,PBE,520.0,8x8x8,PAW_PBE,VASP,0.3722,,6.5572,,5.1514,3.0201,9.9876,,5.7627,,,0.0,,MP-mp-1178889-5c0258be65f6,10.1016/j.commatsci.2022.02.002,2026-07-21,"Materials Project mp-1178889, UMo, spacegroup=Pnma"
Nb-U,"{""Nb"": 25.0, ""U"": 75.0}",HCP,PBE,520.0,8x8x8,PAW_PBE,VASP,0.3415,,6.3965,,5.9307,,5.4755,,2.8209,,,0.0,,MP-mp-972551-0ea711c5a5da,10.1016/j.commatsci.2022.02.002,2026-07-21,"Materials Project mp-972551, U3Nb, spacegroup=P6_3/mmc"
Nb-U,"{""Nb"": 50.0, ""U"": 50.0}",ORT,PBE,520.0,8x8x8,PAW_PBE,VASP,0.2042,,6.7642,,2.9619,,4.8445,,3.3113,,,0.0,,MP-mp-1216538-8f5fc421ca93,10.1016/j.commatsci.2022.02.002,2026-07-21,"Materials Project mp-1216538, UNb, spacegroup=Cmmm"
Ti-U,"{""Ti"": 33.3, ""U"": 66.7}",HCP,PBE,520.0,8x8x8,PAW_PBE,VASP,-0.0979,,5.219,,4.7599,,2.7876,,2.7722,,,0.0,,MP-mp-1709-9e123362c761,10.1016/j.commatsci.2022.02.002,2026-07-21,"Materials Project mp-1709, U2Ti, spacegroup=P6/mmm"
Ti-U,"{""Ti"": 25.0, ""U"": 75.0}",HCP,PBE,520.0,8x8x8,PAW_PBE,VASP,0.2568,,5.6318,,5.8899,,5.3377,,2.5347,,,0.0,,MP-mp-1187772-45caf913ede4,10.1016/j.commatsci.2022.02.002,2026-07-21,"Materials Project mp-1187772, U3Ti, spacegroup=P6_3/mmc"
Ti-U,"{""Ti"": 50.0, ""U"": 50.0}",HCP,PBE,520.0,8x8x8,PAW_PBE,VASP,0.1343,,5.3343,,2.9476,,5.103,,2.9703,,,0.0,,MP-mp-1187780-ba78ffede4da,10.1016/j.commatsci.2022.02.002,2026-07-21,"Materials Project mp-1187780, UTi, spacegroup=P-6m2"
Ti-U,"{""Ti"": 50.0, ""U"": 50.0}",ORT,PBE,520.0,8x8x8,PAW_PBE,VASP,0.1272,,5.3272,,2.89,,5.0448,,2.9703,,,0.0,,MP-mp-1216593-afd490846290,10.1016/j.commatsci.2022.02.002,2026-07-21,"Materials Project mp-1216593, UTi, spacegroup=Cmmm"
U-V,"{""U"": 33.3, ""V"": 66.7}",HCP,PBE,520.0,8x8x8,PAW_PBE,VASP,0.4812,,5.8711,,4.7231,,2.5907,,7.3364,,,0.0,,MP-mp-1063610-1e7209367efa,10.1016/j.commatsci.2022.02.002,2026-07-21,"Materials Project mp-1063610, UV2, spacegroup=P6/mmm"
