element_system,composition,phase,functional,cutoff_energy,kpoint_density,pseudopotential,code,formation_energy,formation_energy_uncertainty,cohesive_energy,cohesive_energy_uncertainty,lattice_constant_a,lattice_constant_b,lattice_constant_c,lattice_constant_uncertainty,lattice_distortion,lattice_distortion_uncertainty,temperature,pressure,magnetic_ordering,source_id,source_doi,calculation_date,notes
Fe-Mo-Ta,"{""Fe"": 25.0, ""Mo"": 25.0, ""Ta"": 50.0}",BCC,PBE,520.0,8x8x8,PAW_PBE,VASP,-0.1648,,6.6602,,4.4233,,,,5.8644,,,0.0,,MP-BROAD-mp-979267-e38f52c3ec13,10.1016/j.commatsci.2022.02.002,2026-07-21,"Materials Project mp-979267, Ta2FeMo, spacegroup=Fm-3m"
Fe-Mo,"{""Fe"": 75.0, ""Mo"": 25.0}",HCP,PBE,520.0,8x8x8,PAW_PBE,VASP,0.0815,,4.9965,,5.129,,4.1092,,4.3553,,,0.0,,MP-BROAD-mp-985475-781b44d2f4a7,10.1016/j.commatsci.2022.02.002,2026-07-21,"Materials Project mp-985475, Fe3Mo, spacegroup=P6_3/mmc"
Mo-V,"{""Mo"": 50.0, ""V"": 50.0}",HCP,PBE,520.0,8x8x8,PAW_PBE,VASP,0.3441,,6.4091,,2.6988,,4.8004,,1.8315,,,0.0,,MP-BROAD-mp-995205-4a30aa752649,10.1016/j.commatsci.2022.02.002,2026-07-21,"Materials Project mp-995205, VMo, spacegroup=P-6m2"
Mo,"{""Mo"": 50.0, ""N"": 50.0}",HCP,PBE,520.0,8x8x8,PAW_PBE,VASP,-0.2986,,5.5714,,2.9751,,6.2555,,29.9065,,,0.0,,MP-BROAD-mp-999503-e1a2fecb03f1,10.1016/j.commatsci.2022.02.002,2026-07-21,"Materials Project mp-999503, MoN, spacegroup=P6_3mc"
Co-Mo,"{""Co"": 50.0, ""Mo"": 50.0}",BCC,PBE,520.0,8x8x8,PAW_PBE,VASP,0.2911,,5.8961,,2.9997,,,,5.303,,,0.0,,MP-BROAD-mp-1006884-389245f64693,10.1016/j.commatsci.2022.02.002,2026-07-21,"Materials Project mp-1006884, CoMo, spacegroup=Pm-3m"
Co-Mo,"{""Co"": 75.0, ""Mo"": 25.0}",BCC,PBE,520.0,8x8x8,PAW_PBE,VASP,0.1843,,5.1818,,3.5624,,,,4.7176,,,0.0,,MP-BROAD-mp-1008279-58a6d1e0a440,10.1016/j.commatsci.2022.02.002,2026-07-21,"Materials Project mp-1008279, Co3Mo, spacegroup=Pm-3m"
Mo,"{""C"": 50.0, ""Mo"": 50.0}",BCC,PBE,520.0,8x8x8,PAW_PBE,VASP,0.4243,,7.5193,,3.3225,,,,28.7037,,,0.0,,MP-BROAD-mp-1009218-fdd18a0fd5a7,10.1016/j.commatsci.2022.02.002,2026-07-21,"Materials Project mp-1009218, MoC, spacegroup=F-43m"
Mg-Mo,"{""Mg"": 87.5, ""Mo"": 12.5}",HCP,PBE,520.0,8x8x8,PAW_PBE,VASP,0.2336,,2.4073,,6.2177,,4.9341,,4.4131,,,0.0,,MP-BROAD-mp-1016281-47c5d7700425,10.1016/j.commatsci.2022.02.002,2026-07-21,"Materials Project mp-1016281, Mg7Mo, spacegroup=P-6m2"
Mg-Mo,"{""Mg"": 93.8, ""Mo"": 6.2}",HCP,PBE,520.0,8x8x8,PAW_PBE,VASP,0.1303,,1.9695,,6.3128,,10.0832,,3.1911,,,0.0,,MP-BROAD-mp-1023496-e3820eac502e,10.1016/j.commatsci.2022.02.002,2026-07-21,"Materials Project mp-1023496, Mg15Mo, spacegroup=P-6m2"
Mg-Mo-Ti,"{""Mg"": 87.5, ""Mo"": 6.2, ""Ti"": 6.2}",HCP,PBE,520.0,8x8x8,PAW_PBE,VASP,0.1895,,2.2343,,6.2941,,9.9722,,3.6638,,,0.0,,MP-BROAD-mp-1026435-dcae6e38a599,10.1016/j.commatsci.2022.02.002,2026-07-21,"Materials Project mp-1026435, Mg14TiMo, spacegroup=P-6m2"
Hf-Mg-Mo,"{""Hf"": 6.2, ""Mg"": 87.5, ""Mo"": 6.2}",HCP,PBE,520.0,8x8x8,PAW_PBE,VASP,0.1964,,2.3398,,6.3262,,10.0016,,3.1906,,,0.0,,MP-BROAD-mp-1026464-d10a2894c718,10.1016/j.commatsci.2022.02.002,2026-07-21,"Materials Project mp-1026464, HfMg14Mo, spacegroup=P-6m2"
Mg-Mo-W,"{""Mg"": 87.5, ""Mo"": 6.2, ""W"": 6.2}",HCP,PBE,520.0,8x8x8,PAW_PBE,VASP,0.2858,,2.5817,,6.2103,,9.8618,,4.4026,,,0.0,,MP-BROAD-mp-1026469-5d585f1fefe5,10.1016/j.commatsci.2022.02.002,2026-07-21,"Materials Project mp-1026469, Mg14MoW, spacegroup=P-6m2"
Mg-Mo,"{""C"": 6.2, ""Mg"": 87.5, ""Mo"": 6.2}",HCP,PBE,520.0,8x8x8,PAW_PBE,VASP,0.3771,,2.5781,,6.2235,,9.6021,,13.2465,,,0.0,,MP-BROAD-mp-1026479-db80e8d09a55,10.1016/j.commatsci.2022.02.002,2026-07-21,"Materials Project mp-1026479, Mg14MoC, spacegroup=P-6m2"
Cr-Mg-Mo,"{""Cr"": 6.2, ""Mg"": 87.5, ""Mo"": 6.2}",HCP,PBE,520.0,8x8x8,PAW_PBE,VASP,0.2045,,2.2028,,6.256,,9.9788,,5.7149,,,0.0,,MP-BROAD-mp-1026498-86dfe0160068,10.1016/j.commatsci.2022.02.002,2026-07-21,"Materials Project mp-1026498, Mg14CrMo, spacegroup=P-6m2"
Mg-Mo-Nb,"{""Mg"": 87.5, ""Mo"": 6.2, ""Nb"": 6.2}",HCP,PBE,520.0,8x8x8,PAW_PBE,VASP,0.2184,,2.4318,,6.2962,,9.8897,,3.7417,,,0.0,,MP-BROAD-mp-1026510-35b2feb9898d,10.1016/j.commatsci.2022.02.002,2026-07-21,"Materials Project mp-1026510, Mg14NbMo, spacegroup=P-6m2"
Mg-Mo-Si,"{""Mg"": 87.5, ""Mo"": 6.2, ""Si"": 6.2}",HCP,PBE,520.0,8x8x8,PAW_PBE,VASP,0.1295,,2.1606,,6.199,,10.009,,7.2084,,,0.0,,MP-BROAD-mp-1026684-30c19689b186,10.1016/j.commatsci.2022.02.002,2026-07-21,"Materials Project mp-1026684, Mg14SiMo, spacegroup=P-6m2"
Cu-Mg-Mo,"{""Cu"": 6.2, ""Mg"": 87.5, ""Mo"": 6.2}",HCP,PBE,520.0,8x8x8,PAW_PBE,VASP,0.1377,,2.0982,,6.2506,,9.7947,,5.7149,,,0.0,,MP-BROAD-mp-1026872-c25fe2280599,10.1016/j.commatsci.2022.02.002,2026-07-21,"Materials Project mp-1026872, Mg14CuMo, spacegroup=P-6m2"
Fe-Mg-Mo,"{""Fe"": 6.2, ""Mg"": 87.5, ""Mo"": 6.2}",HCP,PBE,520.0,8x8x8,PAW_PBE,VASP,0.2059,,2.2153,,6.247,,9.8615,,5.9763,,,0.0,,MP-BROAD-mp-1027810-82a861ff9bab,10.1016/j.commatsci.2022.02.002,2026-07-21,"Materials Project mp-1027810, Mg14FeMo, spacegroup=P-6m2"
Mg-Mn-Mo,"{""Mg"": 87.5, ""Mn"": 6.2, ""Mo"": 6.2}",HCP,PBE,520.0,8x8x8,PAW_PBE,VASP,0.1846,,2.1097,,6.2818,,9.8863,,5.8449,,,0.0,,MP-BROAD-mp-1028059-40add151e0a1,10.1016/j.commatsci.2022.02.002,2026-07-21,"Materials Project mp-1028059, Mg14MnMo, spacegroup=P-6m2"
Al-Mg-Mo,"{""Al"": 6.2, ""Mg"": 87.5, ""Mo"": 6.2}",HCP,PBE,520.0,8x8x8,PAW_PBE,VASP,0.1191,,2.0733,,6.2588,,9.9711,,4.0023,,,0.0,,MP-BROAD-mp-1028241-d88abece917c,10.1016/j.commatsci.2022.02.002,2026-07-21,"Materials Project mp-1028241, Mg14AlMo, spacegroup=P-6m2"
Mg-Mo-V,"{""Mg"": 87.5, ""Mo"": 6.2, ""V"": 6.2}",HCP,PBE,520.0,8x8x8,PAW_PBE,VASP,0.2142,,2.2876,,6.2658,,9.9364,,4.968,,,0.0,,MP-BROAD-mp-1028301-ccf3552bc1ae,10.1016/j.commatsci.2022.02.002,2026-07-21,"Materials Project mp-1028301, Mg14VMo, spacegroup=P-6m2"
