U,Ta,V,Fe,Mo,Si,Cr,Ru,Mn,Nb,Al,Zr,Ti,mo_equivalent,pauling_chi_diff,allen_chi_diff,config_entropy,bv_ratio,u_density,mixing_enthalpy,lattice_distortion,cluster_type,phase_label
0.932686,0.0,0.048821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018493,0.0,0.0,0.11814682,0.016458640000000004,0.027954536999999998,2.379543383460972,9.525964693883969,18.37904969641929,1.413692582012,0.03234099537935292,IV,H
0.936699,0.0,0.063301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15318842,0.01582525,0.026966225999999996,1.9617328099365055,9.702653800453538,18.49757654086624,1.1858796679799999,0.034649564427168975,III,H
0.851794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.148206,0.0,0.16302660000000002,0.007410299999999974,0.025639638000000006,3.4884259528440653,8.70006075502342,17.006891058509783,0.7574458893840001,0.009075871041531312,II,H
0.880735,0.0,0.06572,0.053545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1590424,0.04052525000000001,0.060819805,3.7205455409700154,10.527137331978537,18.105753448119852,1.8439085532250001,0.05496858798796062,III,H
0.97606,0.0,0.0,0.0,0.0,0.0,0.02394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0067032,0.010342079999999998,0.9394828420622178,9.360439448654361,18.891533309615156,0.233668764,0.02755522201163869,I,M
0.937673,0.0,0.0,0.032969,0.0,0.0,0.0,0.029359,0.0,0.0,0.0,0.0,0.0,0.0,0.03891043000000002,0.044636684999999995,2.2981831812647675,10.053922583583484,18.706571356066764,1.2895837860961383,0.041585843028950305,III,H
0.939728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.060272,0.11210592,0.009643520000000008,0.018865135999999998,1.8932248806953222,9.125641639332164,18.30428457374552,1.019507148288,0.013778107532504852,II,H
0.923224,0.0,0.0,0.0,0.066589,0.010187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.066589,0.057236660000000016,0.050911181,2.5015027464939186,10.30245464989855,18.44116322740255,0.295794467324,0.03684898619480371,I,M
0.98068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01932,0.0,0.0,0.0,0.004443600000000004,0.00747684,0.7929955249555752,9.0192771561249,18.803613636548498,0.568402128,0.011489093181598607,IV,H
0.96697,0.03303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003963600000000003,0.00812538,1.20654348475464,9.314636097449387,18.98905279412454,0.319390191,0.01493401505328742,I,M
0.976703,0.0,0.023297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05637874,0.00582425,0.009924521999999998,0.9195861755677948,9.28845399203195,18.85427524359077,0.45508499581999995,0.021343151917765577,III,H
0.884868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.115132,0.21414552,0.018421120000000017,0.03603631599999999,2.96903165674961,9.197005376417785,17.606607657017452,1.8337792063679998,0.018537428444472506,II,H
0.930248,0.069752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008370240000000006,0.017158991999999998,2.103416850703807,9.611923431316482,18.912087393804967,0.6488665849599999,0.021351492250556724,I,M
0.883883,0.0,0.0,0.0,0.116117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.116117,0.09057126000000003,0.07652110300000001,2.9856930690044847,11.252432195735267,18.264849460541072,-0.513169211555,0.03535901409726702,I,H
0.941567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058433,0.10868538,0.009349280000000008,0.018289528999999995,1.8509783973351106,9.123249406147684,18.327472678422254,0.9903345211979999,0.013578104789561075,II,M
0.983082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016918,0.0,0.0,0.0,0.0038911400000000034,0.0065472659999999995,0.7132495719994553,9.022753421297038,18.835303646682586,0.49895343828,0.010762194864531097,IV,H
0.895557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.104443,0.0,0.0,0.0,0.11802058999999998,0.02297746000000002,0.044597161,2.783003303104869,9.741773274057843,18.095283484250576,-0.374138639004,0.025709966042810492,I,M
0.934671,0.0,0.0,0.0,0.0,0.0,0.042105,0.023224,0.0,0.0,0.0,0.0,0.0,0.0,0.030833080000000006,0.037511727999999994,2.3603466009111793,10.00503782693162,18.652605013566188,1.04474720367,0.041694611505055844,I,M
0.884178,0.0,0.068693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047129,0.253897,0.02471389000000001,0.04401459499999999,3.631385919006073,9.819789343481771,17.842634557219665,1.9583295716020002,0.03746653533231244,II,H
0.951846,0.0,0.048154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11653268,0.0120385,0.020513603999999998,1.6049637601182787,9.545822371142423,18.63376675108938,0.91670384568,0.030398835173204332,III,H
0.986782,0.0,0.0,0.0,0.0,0.013218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00687336,0.009120419999999999,0.5845876506194722,9.035061351369654,18.844040419078585,0.8478134909400001,0.02864646217313414,IV,H
0.95167,0.0,0.04833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1169586,0.0120825,0.020588579999999995,1.6093273323925932,9.547644668069786,18.6321922746114,0.919884222,0.030452282787251546,III,H
